technology,adoption_rate,yoy_pp_change_vs_prev_survey
Databricks,0.3287213740458015,11.47765172059288
PostgreSQL,0.3678435114503817,8.470459310467648
S3,0.2881679389312977,7.899508633320651
SQLite,0.1230916030534351,7.563667198238527
MySQL,0.2853053435114503,3.9547125059700647
Redis,0.0620229007633587,3.551176608679462
MongoDB,0.1479007633587786,3.443310694308405
Snowflake,0.0911259541984732,3.2801457910032146
Amazon Athena,0.1521946564885496,3.262943909724528
DynamoDB,0.0758587786259541,2.0715618498700747
ElasticSearch,0.0577290076335877,1.822741696550719
Amazon Aurora ou RDS,0.0815839694656488,1.7692134895129246
SQL SERVER,0.3349236641221374,1.440404588247679
Oracle,0.1956106870229007,1.374430314167066
MariaDB,0.0434160305343511,1.0542223535411592
Neo4J,0.0190839694656488,1.0070183675617042
Google BigQuery,0.2700381679389313,0.9433714068305676
Microsoft Access,0.0429389312977099,0.8739567564942166
DB2,0.0348282442748091,0.8317109598245005
Presto,0.0419847328244274,0.5134255624003304
Firebase,0.0310114503816793,0.3439870318052665
Firebird,0.0147900763358778,0.3390288424955275
Cassandra,0.0143129770992366,0.3178300535079694
SAP HANA,0.0586832061068702,0.2744711939319861
CoachDB,0.0028625954198473,0.1802150032784762
Datomic,0.0062022900763358,0.0900063141023046
HBase,0.0071564885496183,0.0793816227242922
Amazon Redshift,0.1102099236641221,0.0453826103146523
Vertica,0.0033396946564885,0.0423469842066492
Google Firestore,0.0176526717557251,0.0420434215958491
Sybase,0.0062022900763358,-0.1485938979867727
Hive,0.0763358778625954,-0.1871969433268838
Splunk,0.0076335877862595,-0.5356868205256895
